Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PL2DjJdCTFBQiKrZn-h7wtvEWqrqVRAl_m,UC_5-OtEfF3W1hCibhKzKfgw,2014-06-08 21:43:23 UTC,2019-02-12 11:00:01 UTC,Bboy Culture,,Public

Video Id,Time Added
 -cmaLYKJE5Q,2014-06-08 21:44:57 UTC
3xmia-0W_TU,2014-06-08 21:46:28 UTC
GXsDci5czP4,2014-06-08 21:46:39 UTC
W2avhAXMiTs,2014-06-08 21:48:08 UTC
7OuQe-brvqY,2014-06-08 21:48:36 UTC
nO-j1oJW440,2014-06-08 21:52:47 UTC
CgpiDE611hw,2014-06-08 21:54:49 UTC
gzSRJoFL4Vk,2014-06-12 21:04:03 UTC
QbA1RkXqnf4,2014-06-12 21:15:17 UTC
4hengLwPRow,2018-10-31 06:22:03 UTC
fro6je9L5kg,2018-11-10 17:55:03 UTC
Yct1SoUYXZ8,2018-12-29 07:23:41 UTC
CQLXkEb7k98,2019-02-12 11:00:01 UTC

