Channel Id,Channel Url,Channel Title
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-yewGHQbNFpDrGM0diZOLA,http://www.youtube.com/channel/UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad
UC0IrinXdwk_j2TlbIomgGQA,http://www.youtube.com/channel/UC0IrinXdwk_j2TlbIomgGQA,boredazn1207
UC0v-tlzsn0QZwJnkiaUSJVQ,http://www.youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ,REACT
UC1KbedtKa3d5dleFR6OjQMg,http://www.youtube.com/channel/UC1KbedtKa3d5dleFR6OjQMg,alpha m.
UC1YDVwTL5M_TVivEdTbfKrA,http://www.youtube.com/channel/UC1YDVwTL5M_TVivEdTbfKrA,XP to Level 3
UC1r4Y0yjS1wjq6Yw1ybcJHA,http://www.youtube.com/channel/UC1r4Y0yjS1wjq6Yw1ybcJHA,Davvy Chappy
UC29ju8bIPH5as8OGnQzwJyA,http://www.youtube.com/channel/UC29ju8bIPH5as8OGnQzwJyA,Traversy Media
UC2Lj90yh-UdXI7733O5Pv1w,http://www.youtube.com/channel/UC2Lj90yh-UdXI7733O5Pv1w,MeAndMyNiggas LookWealthy
UC2t5bjwHdUX4vM2g8TRDq5g,http://www.youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends
UC3FG_gOPjOiHo1iWLtD1qDw,http://www.youtube.com/channel/UC3FG_gOPjOiHo1iWLtD1qDw,Siv HD
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC4yqcgz49APdbgj0OMv7jpA,http://www.youtube.com/channel/UC4yqcgz49APdbgj0OMv7jpA,Rachel and Jun
UC5DXIGh6zwIdvhS-4Toh6Gg,http://www.youtube.com/channel/UC5DXIGh6zwIdvhS-4Toh6Gg,NeverEnoughEpicAMVs
UC5XHEpD_5A2ciIJu2lU776A,http://www.youtube.com/channel/UC5XHEpD_5A2ciIJu2lU776A,Calbel
UC6ErBigqMRej3MLMtLNEiMw,http://www.youtube.com/channel/UC6ErBigqMRej3MLMtLNEiMw,Trend Sway
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC7e57qWIEAZTQAaFwHpKdlw,http://www.youtube.com/channel/UC7e57qWIEAZTQAaFwHpKdlw,SomeBlackGuy
UC7foeIw1ZW7BaqHAUfFgRzg,http://www.youtube.com/channel/UC7foeIw1ZW7BaqHAUfFgRzg,TheAngryHoneyBadger
UC7z7QwsK120X7hs7Wqi05aA,http://www.youtube.com/channel/UC7z7QwsK120X7hs7Wqi05aA,Sky Williams
UC9U_UPJLasfZYZ0icNI0vBg,http://www.youtube.com/channel/UC9U_UPJLasfZYZ0icNI0vBg,Foxdrop
UC9YLd0REiXxLqQQH_CpJKZQ,http://www.youtube.com/channel/UC9YLd0REiXxLqQQH_CpJKZQ,Instalok
UC9htuKR49YV0aU7ZtD5LkiA,http://www.youtube.com/channel/UC9htuKR49YV0aU7ZtD5LkiA,Holly Henry
UCB2wtYpfbCpYDc5TeTwuqFA,http://www.youtube.com/channel/UCB2wtYpfbCpYDc5TeTwuqFA,Will Tennyson
UCB4GZzsP0IJKWX8-IhEOnDQ,http://www.youtube.com/channel/UCB4GZzsP0IJKWX8-IhEOnDQ,Jeremy - Gaming Curios
UCB6mM99rSGZXhvNJDktFs4g,http://www.youtube.com/channel/UCB6mM99rSGZXhvNJDktFs4g,9GAG
UCDNC9xvnTFgbFePXvW_NXew,http://www.youtube.com/channel/UCDNC9xvnTFgbFePXvW_NXew,TheBestAMVsOfAllTime
UCDiFRMQWpcp8_KD4vwIVicw,http://www.youtube.com/channel/UCDiFRMQWpcp8_KD4vwIVicw,Emergency Awesome
UCDmCBKaKOtOrEqgsL4-3C8Q,http://www.youtube.com/channel/UCDmCBKaKOtOrEqgsL4-3C8Q,Blaire White
UCDtH-2b9qrII9PGS-CViNEw,http://www.youtube.com/channel/UCDtH-2b9qrII9PGS-CViNEw,Easy
UCEjrdwqHuMiuXBqhd8GpbDg,http://www.youtube.com/channel/UCEjrdwqHuMiuXBqhd8GpbDg,YAKfilms
UCFLXsE78w3SjV_uvO8UzyBQ,http://www.youtube.com/channel/UCFLXsE78w3SjV_uvO8UzyBQ,Funny Awesome Pets
UCFkDAsyfvgxqNyue4F4HHww,http://www.youtube.com/channel/UCFkDAsyfvgxqNyue4F4HHww,Essential Truth
UCGfUuxBzB8E30XjCjOvji2w,http://www.youtube.com/channel/UCGfUuxBzB8E30XjCjOvji2w,Comedy Bites
UCHEf6T_gVq4tlW5i91ESiWg,http://www.youtube.com/channel/UCHEf6T_gVq4tlW5i91ESiWg,People Vs Food
UCI0rQybQUClPk3j4MJuoiTw,http://www.youtube.com/channel/UCI0rQybQUClPk3j4MJuoiTw,Valkrin
UCILgZLDBwrHJ_y2xAA1__aA,http://www.youtube.com/channel/UCILgZLDBwrHJ_y2xAA1__aA,MagicflierRawr
UCIO0I2FtkHp_nZNBGkGcrcQ,http://www.youtube.com/channel/UCIO0I2FtkHp_nZNBGkGcrcQ,NeverEnoughEpicAMVs3
UCJI_8Plmmtk7GMQPEy_b7rg,http://www.youtube.com/channel/UCJI_8Plmmtk7GMQPEy_b7rg,Badministrator
UCJl5inqzplQtQ5JdgXCW5ww,http://www.youtube.com/channel/UCJl5inqzplQtQ5JdgXCW5ww,NeverEnoughEpicAMVs5
UCL1AWvAE4U5aZN2zcaX4LdA,http://www.youtube.com/channel/UCL1AWvAE4U5aZN2zcaX4LdA,ViralBrothers
UCLHJEbuRvI6lgs234SVpH-g,http://www.youtube.com/channel/UCLHJEbuRvI6lgs234SVpH-g,YAKbattles
UCLqH-U2TXzj1h7lyYQZLNQQ,http://www.youtube.com/channel/UCLqH-U2TXzj1h7lyYQZLNQQ,Greg Doucette
UCMawA56e-pIUOPJ0bo1x5MA,http://www.youtube.com/channel/UCMawA56e-pIUOPJ0bo1x5MA,NeverEnoughEpicAMVs1
UCMu5gPmKp5av0QCAajKTMhw,http://www.youtube.com/channel/UCMu5gPmKp5av0QCAajKTMhw,ERB
UCPOrN8u0yH-gIEb7SkMwkTw,http://www.youtube.com/channel/UCPOrN8u0yH-gIEb7SkMwkTw,Comic Book Girl 19
UCQGKHjjFddJiNd-XdeFAr4A,http://www.youtube.com/channel/UCQGKHjjFddJiNd-XdeFAr4A,EazyOnMe
UCQn1FqrR2OCjSe6Nl4GlVHw,http://www.youtube.com/channel/UCQn1FqrR2OCjSe6Nl4GlVHw,Raon Lee
UCRIxFJ5UicWOUdoUYyJTD1Q,http://www.youtube.com/channel/UCRIxFJ5UicWOUdoUYyJTD1Q,Gbay99
UCS5tt2z_DFvG7-39J3aE-bQ,http://www.youtube.com/channel/UCS5tt2z_DFvG7-39J3aE-bQ,Life of Boris
UCSAUGyc_xA8uYzaIVG6MESQ,http://www.youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga
UCSJ4gkVC6NrvII8umztf0Ow,http://www.youtube.com/channel/UCSJ4gkVC6NrvII8umztf0Ow,Lofi Girl
UCTsDG8INKVQReyevPRXPZwA,http://www.youtube.com/channel/UCTsDG8INKVQReyevPRXPZwA,Egnaro
UCUKi4zY5ETSqrKAjTBgjM-g,http://www.youtube.com/channel/UCUKi4zY5ETSqrKAjTBgjM-g,sWooZie
UCUTBvu9NrpVQFiICTu3-dvw,http://www.youtube.com/channel/UCUTBvu9NrpVQFiICTu3-dvw,The Atheist Voice
UCUpkp-6fXuG9dqfoJ99XTmw,http://www.youtube.com/channel/UCUpkp-6fXuG9dqfoJ99XTmw,Puffin Forest
UCUsN5ZwHx2kILm84-jPDeXw,http://www.youtube.com/channel/UCUsN5ZwHx2kILm84-jPDeXw,Comedy Central
UCUxc0iEpV8wZV4WLOui0RwQ,http://www.youtube.com/channel/UCUxc0iEpV8wZV4WLOui0RwQ,Gabriel Iglesias
UCV1OY9CfrcwPfUAUMz-Lpqw,http://www.youtube.com/channel/UCV1OY9CfrcwPfUAUMz-Lpqw,NeverEnoughEpicAMVs2
UCXScCWtV6cFkiIMRioSWMEA,http://www.youtube.com/channel/UCXScCWtV6cFkiIMRioSWMEA,Royce 5'9 Official
UCXXlk8ZNY7NBN6dPB75L1WA,http://www.youtube.com/channel/UCXXlk8ZNY7NBN6dPB75L1WA,Turbinas2mil
UCXhSCMRRPyxSoyLSPFxK7VA,http://www.youtube.com/channel/UCXhSCMRRPyxSoyLSPFxK7VA,Matthew Santoro
UCYEIC1WKHEJHR971HIySQMg,http://www.youtube.com/channel/UCYEIC1WKHEJHR971HIySQMg,Hollywood Undead
UCYrtgtWm1oEGqb8XVcTM4DA,http://www.youtube.com/channel/UCYrtgtWm1oEGqb8XVcTM4DA,Ron Revog
UCZNk7Jjb2t8EuBdgn4Zj1cw,http://www.youtube.com/channel/UCZNk7Jjb2t8EuBdgn4Zj1cw,No B.S.
